,"Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)"
,"2025","2025","2025","2020","2020","2020","2019","2019","2019","2018","2018","2018","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Countries, territories and areas","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Mauritius","19.2","35.6","2.7","20.2","37.3","3","20.5","37.9","3.1","20.5","38.3","3.1","21.4","39.4","3.4","22.7","41.5","3.8","24.1","43.9","4.2","25.5","46.1","4.8"
"Mexico","11.2","17.1","5.2","13.1","19.9","6.2","13.4","20.4","6.4","13.4","21.1","6.6","15.2","22.9","7.4","17.7","26.4","8.9","20.6","30.5","10.6","24","35.2","12.8"
"Mongolia","28.3","49.9","6.7","29.4","51.7","7.1","29.6","52","7.2","29.6","52.3","7.3","30.6","53.6","7.5","31.6","55.2","7.9","32.9","57.3","8.4","34.1","59.2","8.9"
"Montenegro","30.1","29.4","30.7","31.4","31.6","31.1","31.8","32.3","31.3","31.8","32.8","31.4","33.1","34.3","31.9","34.9","37.1","32.6","36.7","40","33.3","38.7","43.4","33.9"
"Morocco","13.2","25.7","0.6","14.5","28.2","0.8","14.9","28.8","0.9","14.9","29.4","0.9","16.2","31.3","1","18.1","34.8","1.3","20.1","38.5","1.7","22.5","42.8","2.1"
"Mozambique","11.9","19.4","4.4","14.3","23","5.6","14.8","23.7","5.9","14.8","24.3","6.2","17","26.7","7.2","20.5","31.7","9.2","24.5","37.1","11.8","29.4","43.8","15"
"Myanmar","40.4","65.5","15.2","44.1","68.5","19.7","45.1","69.4","20.8","45.1","70.2","22","48.8","72","25.6","54.6","76","33.1","60.6","79.4","41.8","66.9","83.8","50"
"Namibia","13.5","22.4","4.5","15.1","24.2","6","15.5","24.6","6.3","15.5","25","6.7","17.1","26.2","7.9","19.5","28.5","10.4","22.3","30.8","13.7","25.6","33.1","18"
"Nauru","45.3","45.5","45","48.5","47.8","49.1","49.2","48.4","49.9","49.2","48.8","50.7","51.8","49.9","53.6","55.5","52.6","58.3","59.2","54.8","63.6","63.4","57.3","69.4"
"Nepal","25.9","43","8.7","30.4","47.9","12.8","31.5","49.1","13.8","31.5","50","14.8","36","53.2","18.7","43.6","59.5","27.7","53.5","66.2","40.8","64.5","74.1","54.9"
"Netherlands","19.8","22.1","17.5","22.2","24.4","19.9","22.6","24.8","20.3","22.6","25.5","20.8","24.6","26.9","22.2","27.5","30","25","30.6","33","28.2","34.3","36.8","31.7"
"New Zealand","11.2","12.6","9.8","13.7","15","12.3","14.2","15.5","12.8","14.2","16.1","13.4","16.5","17.8","15.2","20.1","21.3","18.9","24.3","25.1","23.5","29.6","30","29.1"
"Niger","7.1","13.2","0.9","7.4","13.7","1.1","7.6","13.9","1.2","7.6","14","1.2","7.9","14.4","1.4","8.4","14.9","1.8","9","15.6","2.3","9.7","16.4","2.9"
"Nigeria","3","5.5","0.4","3.7","6.9","0.5","3.9","7.2","0.5","3.9","7.5","0.6","4.7","8.6","0.7","5.9","10.7","1","7.4","13.4","1.4","9.3","16.7","1.9"
"Norway","12.6","13.4","11.8","16.2","17","15.4","17.1","17.9","16.2","17.1","18.8","17","20.7","21.6","19.7","26.7","27.6","25.8","34.3","35.1","33.5","44","44.7","43.3"
"Oman","8","15.7","0.3","8","15.5","0.4","7.9","15.4","0.4","7.9","15.4","0.4","7.8","15.2","0.4","7.7","14.9","0.5","7.7","14.7","0.6","7.6","14.5","0.7"
"Pakistan","17.5","29.4","5.6","20.2","33","7.3","20.8","33.9","7.7","20.8","34.8","8.1","23.6","37.7","9.5","27.4","42.4","12.4","31.9","47.7","16.1","37.5","54.1","20.9"
"Palau","16.1","25.2","6.9","17.6","27.3","7.9","17.9","27.6","8.1","17.9","28.3","8.4","19.4","29.6","9.1","21.4","32.2","10.5","23.7","35.3","12","26.1","38.5","13.7"
"Panama","3.9","6","1.8","5","7.7","2.2","5.3","8.2","2.3","5.3","8.6","2.4","6.4","10.1","2.7","8.2","13","3.3","10.5","17","4","13.4","21.9","4.9"
"Papua New Guinea","36.3","49.6","22.9","39.3","53.5","25.1","39.9","54.2","25.6","39.9","55","26.1","42.5","57.4","27.5","45.9","61.5","30.2","49.7","66.2","33.2","54.1","71.5","36.7"
"Paraguay","9.2","15.1","3.3","11.5","18.6","4.4","12.1","19.5","4.7","12.1","20.4","5","14.5","23.1","5.9","18.2","28.4","7.9","23","35.4","10.6","29.1","44","14.2"
"Peru","5.7","9.4","2","8.1","13.2","3","8.7","14.1","3.2","8.7","15.1","3.4","11.5","18.6","4.3","16.3","26.4","6.2","23.1","37.2","8.9","32.9","52.8","13"
"Philippines","20.9","36.3","5.5","22.9","39.3","6.5","23.4","40","6.7","23.4","40.9","6.9","25.4","43.1","7.7","28.3","47.4","9.2","31.6","52.2","11","34.9","56.8","13"
"Poland","21.3","24.8","17.7","24","27.9","20.1","24.7","28.6","20.7","24.7","29.4","21.2","27.2","31.6","22.8","30.8","35.7","25.9","35","40.4","29.6","39.6","45.6","33.6"
"Portugal","25.5","29.1","21.9","25.4","30.5","20.2","25.3","30.6","20","25.3","30.9","19.7","25.2","31.7","18.7","25.3","33.1","17.4","25.3","34.5","16.1","25.7","36.4","14.9"
"Qatar","11.5","21.3","1.6","11.8","21.7","1.9","12","21.9","2","12","22","2","12.2","22.2","2.2","12.6","22.6","2.5","13","23.1","2.9","13.5","23.5","3.4"
"Republic of Korea","18.4","31.1","5.6","20.8","35.7","5.9","21.4","36.8","6","21.4","37.9","6","23.8","41.3","6.2","27","47.6","6.4","30.7","54.6","6.7","35","62.8","7.1"
"Republic of Moldova","29.8","53","6.5","29","51.7","6.2","28.7","51.2","6.2","28.7","50.7","6.1","27.9","49.8","6","26.9","48","5.8","26","46.5","5.5","25.3","45.2","5.3"
"Romania","26.5","33.7","19.3","28","35.9","20","28.4","36.5","20.2","28.4","36.9","20.4","29.7","38.5","20.8","31.4","41.2","21.6","33.2","43.9","22.5","35","46.7","23.3"
"Russian Federation","25.4","38","12.8","26.8","40.8","12.8","27.1","41.5","12.7","27.1","42.1","12.7","28.3","43.9","12.7","29.8","46.9","12.6","31.3","50.1","12.5","33.3","54.1","12.5"
"Rwanda","11.8","17.6","6","13.7","20.1","7.2","14.1","20.8","7.4","14.1","21.3","7.7","15.9","23.2","8.6","18.5","26.6","10.3","21.3","30.2","12.4","24.8","34.6","14.9"
"Samoa","22.7","32.4","13","25.3","36.1","14.5","25.9","36.8","14.9","25.9","37.6","15.2","28.1","39.9","16.2","31.4","44.5","18.3","35","49.5","20.5","39","54.9","23.1"
"Sao Tome and Principe","5.4","9.7","1","5.7","10.1","1.3","5.8","10.1","1.4","5.8","10.2","1.5","6.2","10.5","1.8","6.6","10.8","2.3","7.2","11.3","3","7.8","11.7","3.9"
"Saudi Arabia","14.4","27","1.8","14.3","26.5","2","14.2","26.3","2.1","14.2","26.3","2.1","14.2","26.1","2.3","14.2","25.6","2.7","14.2","25.3","3","14.2","24.9","3.5"
"Senegal","5.7","10.9","0.5","6.9","13.1","0.7","7.1","13.5","0.7","7.1","14","0.7","8.3","15.6","0.9","9.9","18.7","1.1","11.9","22.4","1.4","14.3","26.8","1.8"
"Serbia","38.6","38.1","39.1","39.8","40.5","39.1","40.1","41.1","39","40.1","41.4","39","40.9","42.7","39.1","42.3","45.4","39.1","43.7","48","39.3","45.1","51","39.1"
"Seychelles","18.7","32.1","5.2","20.2","34","6.4","20.6","34.6","6.6","20.6","34.6","6.9","22.1","36.3","7.8","24","38.4","9.5","26.2","40.7","11.6","28.7","43.2","14.2"
"Sierra Leone","10","15.3","4.6","13.5","20.5","6.4","14.3","21.7","6.8","14.3","22.9","7.3","18.1","27.3","8.8","24.3","36.3","12.2","32.6","48.4","16.7","43.7","64.4","23"
"Singapore","16.5","28.1","4.9","16.5","28","5","16.6","28.1","5","16.6","27.9","5.1","16.5","27.8","5.2","16.5","27.5","5.4","16.5","27.3","5.6","16.4","27","5.8"
"Slovakia","31.6","36.1","27.1","31.5","37.4","25.6","31.5","37.6","25.4","31.5","38","25.1","31.5","38.6","24.3","31.6","40.3","22.9","31.7","41.6","21.8","32","43.2","20.7"
"Slovenia","21.2","23.7","18.7","22","24.4","19.6","22.3","24.7","19.8","22.3","24.7","20","22.7","25","20.4","23.5","25.7","21.3","24.2","26.2","22.1","25.1","27","23.1"
"Solomon Islands","35.1","52.3","17.8","36.5","53.8","19.2","36.8","53.9","19.6","36.8","54.1","19.9","37.9","54.9","20.9","39.6","56.6","22.6","41.3","58","24.5","43.5","60.3","26.7"
"South Africa","19.7","33.6","5.7","20.3","34","6.5","20.4","34","6.7","20.4","33.9","7","21","34.4","7.5","21.6","34.4","8.7","22.5","34.9","10.1","23.5","35.2","11.8"
"Spain","25.9","25.4","26.3","27.7","28.6","26.7","28.1","29.3","26.9","28.1","30","27","29.7","32","27.3","31.9","35.8","27.9","34.3","40.1","28.5","36.8","44.5","29"
"Sri Lanka","20.9","39.9","1.9","22","41.4","2.6","22.3","41.9","2.7","22.3","42.2","2.9","23.3","43","3.5","24.8","44.8","4.7","26.5","46.6","6.4","28.5","48.3","8.6"
"Sweden","20.7","26.3","15.1","24","29.8","18.2","24.8","30.5","19","24.8","31.3","19.6","27.9","33.7","22.1","32.3","37.9","26.7","37.6","42.9","32.3","43.8","48.6","38.9"
"Switzerland","24.9","27","22.7","25.5","28.1","22.9","25.7","28.3","23","25.7","28.4","23","26.2","29.3","23.1","26.9","30.5","23.3","27.7","31.8","23.5","28.3","32.9","23.7"
"Thailand","20.1","37.8","2.4","22.1","41.3","2.9","22.5","41.9","3","22.5","42.9","3.1","24.1","44.7","3.5","26.3","48.3","4.2","28.8","52.5","5","31.7","57.3","6"
"Timor-Leste","36.4","63.5","9.2","39.2","67.6","10.8","39.8","68.4","11.2","39.8","69.1","11.5","42.5","72.3","12.7","46","77.1","14.8","49.5","81.6","17.3","53.5","86.7","20.3"
"Togo","5.7","10.4","0.9","6.8","12.3","1.2","7.1","12.8","1.3","7.1","13.2","1.4","8.2","14.6","1.7","9.8","17.2","2.4","11.9","20.3","3.4","14.4","23.9","4.8"
"Tonga","30.6","45.5","15.6","31","46.7","15.3","31.1","47","15.2","31.1","47.3","15.2","31.6","48.2","15","32.1","49.6","14.6","32.8","51.1","14.4","33.5","53","14"
"Tunisia","22.6","43.6","1.6","24.6","47.2","2","25","47.8","2.1","25","48.7","2.2","26.6","50.6","2.5","29","54.7","3.2","31.6","59.2","4","34.3","63.4","5.1"
"Türkiye","30.4","40.2","20.5","30.7","42.1","19.2","30.9","42.9","18.9","30.9","43","18.6","31.1","44.3","17.9","31.7","46.6","16.7","32.2","48.7","15.6","32.9","51.2","14.5"
"Turkmenistan","4.6","8.8","0.4","5.5","10.6","0.4","5.8","11.1","0.5","5.8","11.5","0.5","6.7","12.9","0.5","8.2","15.8","0.6","9.9","19.1","0.6","12","23.3","0.7"
"Tuvalu","33","46.1","19.9","35.6","49.8","21.3","36","50.3","21.7","36","51.2","22","38.4","53.7","23.1","41.8","58.5","25","45.3","63.3","27.3","48.8","68.2","29.3"
"Uganda","6.4","10","2.7","8.4","13","3.7","8.9","13.7","4","8.9","14.3","4.3","10.9","16.7","5.1","14.3","21.5","7.1","18.8","27.8","9.8","24.7","35.7","13.6"
"Ukraine","23.5","36.1","10.8","25.8","40","11.5","26.2","40.7","11.6","26.2","41.7","11.7","28.4","44.6","12.1","31.1","49.4","12.7","34.3","55.2","13.4","37.7","61.3","14.1"
"United Kingdom of Great Britain and Northern Ireland","12.4","14.1","10.6","15.4","17.3","13.5","16.1","17.9","14.2","16.1","18.7","15","19.3","21.2","17.4","24.1","25.9","22.2","30.1","31.9","28.3","37.9","39.2","36.5"
"United Republic of Tanzania","6.5","10.3","2.7","8.7","14","3.4","9.2","14.9","3.5","9.2","15.9","3.6","11.6","19","4.1","15.5","26","5","20.7","35.3","6.1","27.8","48.1","7.4"
"United States of America","20.9","26","15.7","23","28.4","17.5","23.4","28.9","17.8","23.4","29.5","18.3","25.3","31","19.6","28","34.1","21.8","30.6","37","24.2","33.8","40.6","27"
"Uruguay","19","21.4","16.6","21.5","24.4","18.5","22","25.1","18.8","22","25.7","19.3","24.3","27.9","20.7","27.5","31.7","23.3","31.2","36.3","26","35.3","41.2","29.3"
"Uzbekistan","16.1","31","1.1","17.6","34","1.1","17.8","34.5","1.1","17.8","35.3","1.1","19.1","37","1.2","20.9","40.5","1.3","22.7","44.1","1.3","24.9","48.4","1.4"
"Vanuatu","16.2","30.1","2.3","17.8","33","2.6","18.2","33.7","2.7","18.2","34.2","2.7","19.4","35.9","2.9","21.3","39.3","3.3","23.3","42.9","3.7","25.6","47.1","4.1"
"Viet Nam","23.7","45.5","1.8","24.8","47.4","2.2","25","47.8","2.2","25","48.3","2.3","26","49.4","2.6","27","50.8","3.2","28.3","52.7","3.9","29.8","54.8","4.8"
"Yemen","19","31","6.9","20.3","32.5","8.1","20.5","32.6","8.3","20.5","33","8.6","21.8","34.1","9.5","23.4","35.7","11.1","25.3","37.4","13.1","27.3","39","15.5"
"Zambia","13.3","23.5","3","14.4","25.1","3.7","14.6","25.3","3.9","14.6","25.5","4","15.5","26.4","4.6","16.7","27.8","5.6","18.1","29.3","6.9","19.9","31.3","8.5"
"Zimbabwe","10.2","19.2","1.1","11.7","21.8","1.5","12.1","22.5","1.6","12.1","23","1.7","13.6","25.1","2","15.6","28.6","2.6","18.1","32.7","3.5","21","37.3","4.6"
