,"Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)"
,"2025","2025","2025","2020","2020","2020","2019","2019","2019","2018","2018","2018","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Countries, territories and areas","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Burkina Faso","12.2","19.6","4.7","14.3","22.1","6.4","14.9","22.8","6.9","14.9","23.3","7.3","17","25.2","8.8","20.5","28.7","12.2","24.7","32.8","16.6","29.8","36.9","22.7"
"Burundi","9.9","15","4.8","11.8","17.4","6.1","12.2","18","6.4","12.2","18.4","6.7","13.9","20","7.8","16.6","23.3","9.9","19.8","26.9","12.7","24","31.5","16.4"
"Cabo Verde","9.9","15.4","4.3","11.4","17.3","5.4","11.7","17.7","5.6","11.7","18.2","5.9","13.1","19.5","6.7","15.2","21.9","8.4","17.8","24.9","10.6","20.6","27.9","13.3"
"Cambodia","17.7","30.9","4.4","21.1","36.1","6","21.9","37.4","6.3","21.9","38.7","6.7","25.2","42.4","8","30.1","49.4","10.7","36","57.5","14.4","42.3","65.2","19.3"
"Cameroon","6.4","11.7","1.1","7.3","13.2","1.4","7.5","13.5","1.5","7.5","13.9","1.6","8.4","14.9","1.9","9.7","16.9","2.4","11.2","19.1","3.2","12.8","21.4","4.2"
"Canada","10.8","12.9","8.6","13","15.3","10.7","13.6","15.8","11.3","13.6","16.3","11.8","15.8","18.1","13.5","19.3","21.6","17","23.3","25.5","21.1","28.4","30.3","26.4"
"Chad","7.3","12.4","2.2","8.3","13.8","2.7","8.5","14.2","2.8","8.5","14.5","2.9","9.4","15.4","3.3","10.7","17.2","4.1","12.2","19.3","5.1","13.9","21.4","6.3"
"Chile","25.9","28","23.8","29.2","31.6","26.8","29.9","32.3","27.5","29.9","33.1","28.1","32.9","35.5","30.2","37.1","40.2","33.9","41.7","45.4","37.9","46.9","51.3","42.4"
"China","25.5","49.5","1.4","25.6","49.4","1.7","25.7","49.7","1.7","25.7","49.4","1.8","25.9","49.8","2","26.2","50","2.3","26.6","50.4","2.7","26.7","50.2","3.2"
"Colombia","7.4","10.8","3.9","8.5","12.4","4.6","8.8","12.8","4.7","8.8","13.2","4.8","9.9","14.4","5.3","11.4","16.6","6.1","13.2","19.4","7","15.1","22.1","8.1"
